time,"Average fuel consumption (MPG)","Average fuel consumption (total) (MPG)","Average fuel consumption 10 sec (MPG)","Average speed (mph)","Calculated instant fuel consumption (MPG)","Calculated instant fuel rate (gal./h)","Distance travelled (miles)","Distance travelled (total) (miles)","Engine RPM (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (gallon)","Fuel used (total) (gallon)","Fuel used price ($)","Fuel used price (total) ($)","Instant engine power (based on fuel consumption) (hp)","MAF air flow rate (g/sec)","Oxygen sensor 1 Wide Range Current (mA) (mA)","Oxygen sensor 1 Wide Range Equivalence ratio ()","Throttle position (%)","Vehicle acceleration (g)","Vehicle speed (mph)",
07:57:49.962,,,,,,,,,,,,,,,,,-0.01171875,14.70274155,,,,
07:57:50.227,,,,,,,,,,1,,,,,,,,,10.5882352941176,,,
07:57:50.349,,,,,,0.177214062515486,,,,,,,,,1.9302522528528,2,,,,,,
07:57:50.478,,,,,0,,,,,,,,,,,,,,,0,0,
07:57:50.577,,,,,,,,,741,,,,,,,,,,,,,
07:57:50.696,,,,,,,,,,,,,,,,,-0.0390625,14.63010885,,,,
07:57:50.972,,,,,,,,,,1,,,,,,,,,10.5882352941176,,,
07:57:51.159,0,,,,,0.181655737400378,,,,,4.08496847364827E-05,0.354431337307394,0.000156180599652994,1.35,1.97863189514137,2.04,,,,,,
07:57:51.261,,,,,0,,0,11.373243681587,,,,,,,,,,,,0,0,
07:57:51.380,,,,,,,,,739,,,,,,,,,,,,,
07:57:51.476,,,,,,,,,,,,,,,,,-0.00390625,14.72246895,,,,
07:57:51.714,,,,,,,,,,1,,,,,,,,,10.5882352941176,,,
07:57:51.833,0,32.085713036103,,,,0.179631253261607,,,,,7.44906550696989E-05,0.354464978277727,0.00028480012152798,1.35,1.95658079482654,2.03,,,,,,
07:57:51.957,,,,0,0,,0,11.373243681587,,,,,,,,,,,,0,0,
07:57:52.089,,,,,,,,,732,,,,,,,,,,,,,
07:57:52.229,,,,,,,,,,,,,,,,,-0.0390625,14.58975735,,,,
07:57:52.489,,,,,,,,,,1,,,,,,,,,10.5882352941176,,,
07:57:52.642,0,32.0820955339308,,,,0.177693489699455,,,,,0.000114459298250295,0.354504946920908,0.000437612235000352,1.35,1.93547427298371,1.99,,,,,,
07:57:52.793,,,,0,0,,0,11.373243681587,,,,,,,,,,,,0,0,
07:57:52.912,,,,,,,,,742,,,,,,,,,,,,,
07:57:53.011,,,,,,,,,,,,,,,,,-0.02734375,14.6753922,,,,
07:57:53.264,,,,,,,,,,1,,,,,,,,,10.5882352941176,,,
07:57:53.361,0,32.0789366703497,,,,0.174881157301395,,,,,0.000149367960518888,0.354539855583176,0.000571078523451864,1.35,1.90484176634135,1.97,,,,,,
07:57:53.503,,,,0,0,,0,11.373243681587,,,,,,,,,,,,0,0,
07:57:53.601,,,,,,,,,734,,,,,,,,,,,,,
07:57:53.698,,,,,,,,,,,,,,,,,-0.03125,14.6260737,,,,
07:57:53.956,,,,,,,,,,1,,,,,,,,,10.5882352941176,,,
07:57:54.062,0,32.07584213443,,,,0.17547084914442,,,,,0.000183572403646724,0.354574060026304,0.000701852370862521,1.35,1.91126481196386,1.97,,,,,,
07:57:54.184,,,,0,0,,0,11.373243681587,,,,,,,,,,,,0,0,
07:57:54.368,,,,,,,,,737,,,,,,,,,,,,,
07:57:54.494,,,,,,,,,,,,,,,,,-0.01171875,14.70005145,,,,
07:57:54.718,,,,,,,,,,1,,,,,,,,,10.5882352941176,,,
07:57:54.832,0,32.0723476134993,,,,0.180791422426929,,,,,0.000222205885958836,0.354612693508616,0.000849559763786416,1.35,1.96921759753433,2.04,,,,,,
07:57:54.956,,,,0,0,,0,11.373243681587,,,,,,,,,,,,0,0,
07:57:55.079,,,,,,,,,741,,,,,,,,,,,,,
07:57:55.210,,,,,,,,,,,,,,,,,-0.00390625,14.72605575,,,,
07:57:55.445,,,,,,,,,,1,,,,,,,,,10.5882352941176,,,
07:57:55.580,0,32.0690230048595,,,,0.176933498312386,,,,,0.000258968727921727,0.354649456350579,0.000990115137463137,1.35,1.92719628947487,2,,,,,,
07:57:55.712,,,,0,0,,0,11.373243681587,,,,,,,,,,,,0,0,
07:57:55.917,,,,,,,,,740,,,,,,,,,,,,,
07:57:56.064,,,,,,,,,,,,,,,,,-0.03125,14.65162965,,,,
07:57:56.318,,,,,,,,,,1,,,,,,,,,10.5882352941176,,,
07:57:56.452,0,32.0650902220128,,,,0.179610592722881,,,,,0.000302466478554806,0.354692954101212,0.00115642008745859,1.35,1.95635575596193,2.02,,,,,,
07:57:56.588,,,,0,0,,0,11.373243681587,,,,,,,,,,,,0,0,
07:57:56.693,,,,,,,,,742,,,,,,,,,,,,,
07:57:56.816,,,,,,,,,,,,,,,,,-0.00390625,14.7211239,,,,
07:57:57.080,,,,,,,,,,1,,,,,,,,,10.5882352941176,,,
07:57:57.183,0,32.0618560447384,,,,0.176107810449838,,,,,0.000338245439384205,0.354728733062042,0.00129321378839763,1.35,1.9182027263557,1.99,,,,,,
07:57:57.291,,,,0,0,,0,11.373243681587,,,,,,,,,,,,0,0,
07:57:57.568,,,,,,,,,,,,,,,,,-0.0390625,14.6045529,,,,
07:57:57.819,,,,,,,,,,1,,,,,,,,,10.5882352941176,,,
07:57:57.960,0,32.0583336937239,,,,0.180189554847149,,,,,0.000377220612727166,0.354767708235385,0.00144222756863977,1.35,1.96266193126665,2.02,,,,,,
07:57:58.072,,,,0,0,,0,11.373243681587,,,,,,,,,,,,0,0,
07:57:58.190,,,,,,,,,742,,,,,,,,,,,,,
07:57:58.289,,,,,,,,,,,,,,,,,-0.0234375,14.6655285,,,,
07:57:58.550,,,,,,,,,,1,,,,,,,,,10.5882352941176,,,
07:57:58.660,0,32.0552355843347,,,,0.176775415723325,,,,,0.000411508589334391,0.354801996211992,0.00157332078960218,1.35,1.92547442119116,1.99,,,,,,
07:57:58.770,,,,0,0,,0,11.373243681587,,,,,,,,,,,,0,0,
07:57:58.910,,,,,,,,,729,,,,,,,,,,,,,
07:57:59.117,,,,,,,,,,,,,,,,,-0.01953125,14.6637351,,,,
07:57:59.357,,,,,,,,,,1,,,,,,,,,10.5882352941176,,,
07:57:59.463,0,32.0516737422914,,,,0.176797035660428,,,,,0.000450937065903789,0.354841424688561,0.00172406768406996,1.35,1.92570991002149,1.99,,,,,,
07:57:59.576,,,,0,0,,0,11.373243681587,,,,,,,,,,,,0,0,
07:57:59.699,,,,,,,,,735,,,,,,,,,,,,,
07:57:59.827,,,,,,,,,,,,,,,,,-0.0546875,14.5633047,,,,
07:58:00.069,,,,,,,,,,1,,,,,,,,,10.5882352941176,,,
07:58:00.177,0,32.0484370912497,,,,0.180699912554369,,,,,0.000486773380279872,0.354877261002937,0.00186108066482403,1.35,1.96822085305954,2.02,,,,,,
07:58:00.319,,,,0,0,,0,11.373243681587,,,,,,,,,,,,0,0,
07:58:00.421,,,,,,,,,733,,,,,,,,,,,,,
07:58:00.588,,,,,,,,,,,,,,,,,-0.015625,14.670012,,,,
07:58:00.899,,,,,,,,,,1,,,,,,,,,10.5882352941176,,,
07:58:01.041,0,32.0445272520596,,,,0.180273577730788,,,,,0.000530072911953846,0.354920560534611,0.00202662776427314,1.35,1.96357712590828,2.03,,,,,,
